source_id,first_success_at,last_success_at,last_attempt_at,consecutive_failures,consecutive_throttled,expected_interval_h,staleness_h,gate_fail_rate_28d,status
fda.additives.notgras,2026-09-06T14:33:25Z,2026-09-07T19:13:14Z,2026-09-07T19:13:14Z,0,0,720,48.8,0.000,active
fda.additives.petitions,2026-09-06T12:57:15Z,2026-09-07T19:13:12Z,2026-09-07T19:13:12Z,0,0,720,48.8,0.000,active
fda.animalfeed.consultations,2026-09-06T14:33:35Z,2026-09-07T19:13:12Z,2026-09-07T19:13:12Z,0,0,720,48.8,0.000,active
