agrn,notifier,substance,intended_use,species,filed,outcome
54,CJ CheilJedang Corp.,Dried L-Tryptophan Fermentation Product,To be used as a source of L-Tryptophan in livestock and poultry feed.,Livestock and poultry,12/28/2021,withdrawn
55,BASF Enzymes LLC,Phytase enzyme produced by Pseudomonas fluorescens strain BD50104 expressing an altered appA 6-phytase gene from Escherichia coli strain K12,"To increase the availability of phytin-bound phosphorus in broiler diets at 500-2,000 U/kg in complete feed.",Broiler chickens,1/20/2022,no questions
56,"Phileo, Division of S.I.Lesaffre",Purified yeast cell wall,"To be used as a source of fermentable fiber, especially beta-glucans, in food for all animals at a use level depending on the animal species and life stage.",All animals,3/8/2022,withdrawn
57,BASF Corporation,Mannanase 19287 enzyme produced by T Thermophilus strain DSM33149,For use in reducing the viscosity of intestinal digesta at 800 Thermostable Mannanase units /kg of feed,Poultry,4/29/2022,withdrawn
58,Hill’s Pet Nutrition Inc.,Alpha-Lipoic Acid,"Utility information not evaluated for GRAS, see FDA’s letter for more information.",Adult dogs (non-gestating and non-lactating),5/2/2022,no questions
59,Gnubiotics Sciences SA,Porcine oligosaccharides-peptides complex,"Utility information not evaluated for GRAS, see FDA’s letter for more information.",Cats and dogs,5/11/2022,no questions
60,"Calysta, Inc.",Dried Methylococcus capsulatus Product,To be used as a source of protein in food for salmonid species at a level up to 18% of the diet.,Salmonid species,6/2/2022,no questions
61,BASF Enzymes LLC,Phytase enzyme produced by Pseudomonas fluorescens strain BD50104 expressing an altered appA 6-phytase gene from Escherichia coli strain K12,"To increase the availability of phytin-bound phosphorus in swine diets at 500-2,000 U/kg in complete feed.",Swine,2/10/2023,no questions
62,Corbion (Purac Biochem BV),Sodium salts of Lauric and Myristic Acids,"Utility information not evaluated for GRAS, see FDA’s letter for more information.",All animals,8/22/2023,no questions
63,"Phileo, Division of S.I. Lesaffre",purified yeast cell wall,"Utility information not evaluated for GRAS, see FDA’s letter for more information.",All animals,10/4/2023,no questions
64,CJ CheilJedang Corporation,Dried L-Tryptophan Fermentation Product,For use as a source of L-tryptophan in swine feed.,Swine,11/30/2023,no questions
65,"Proteon Pharmaceuticals, S.A.",Bacteriophage preparation,To reduce the presence of Salmonella species in poultry feed at 2 X 10 5 PFU/g of poultry food.,Poultry,12/30/2023,withdrawn
66,"DSM Nutritional Products, LLC",Condensed Algal Residue Solubles derived from the fermentation of microalgae Schizochytrium sp.,"As a source of protein, carbohydrates, minerals and fats at 5 % of dry matter intake.",Beef cattle,4/15/2024,withdrawn
67,BASF Corporation,Beta-mannanase from a Thermothelomyces thermophilus strain expressing an altered man1 gene from Trichoderma reesei .,"Utility information not evaluated for GRAS, see FDA’s letter for more information.",Poultry,4/15/2024,no questions
68,"Native Microbials, Inc.",Dried Fat Encapsulated Ruminococcus bovis Strain ASCUSDY10 (NRRL B-67764),"Utility information not evaluated for GRAS, see FDA’s letter for more information.",Dairy cattle,4/26/2024,no questions
69,"Avivagen, Inc.",Oxidized beta-Carotene,"Utility information not evaluated for GRAS, see FDA’s letter for more information.","Poultry (except laying hens), swine, and dairy cattle",5/16/2024,no questions
70,AB Enzymes GmbH,Serine Endopeptidase,To be used as a processing aid to hydrolyze vegetable and animal proteins used as ingredients in animal food.,All animals,6/27/2024,withdrawn
71,"Alura, Inc.",Beta-glucans from Ganoderma lucidum mycelium,To be used as a source of beta-glucans.,All animals,7/11/2024,withdrawn
72,"Protekta, Inc.",synthetic sodium aluminosilicate,To be used to maintain calcium balance in periparturient dairy cows fed at a level of 400 grams synthetic sodium aluminosilicate/head/day for up to14 days.,Dairy cattle,8/19/2024,no questions
73,"Rayonier Advanced Materials, Inc.",Xylooligosaccharides,"Utility information not evaluated for GRAS, see FDA’s letter for more information.","swine, poultry and fish",10/2/2024,no questions
74,"Intralytix, Inc.",Lytic Bacteriophage Preparation,To be used as a processing aid to help control Salmonella enterica in pet food and ingredients for use in pet food at a use level up to 1x10 8 plaque-forming units/gram (PFU/g).,Pets,1/17/2025,no questions
75,Royal Canin U.S. Inc.,Tagetes (Aztec marigold) extract,"Utility information not evaluated for GRAS, see FDA’s letter for more information.",Dogs and cats,2/13/2025,no questions
76,"DSM Nutritional Products, LLC",Condensed Algal Residue Solubles (CARS),"To be used as a nutritional ingredient that provides energy in the form of protein, fat and carbohydrates",Beef cattle,4/30/2025,no questions
77,"Kemin Industries, Inc.",Olive Extract,To be used as component of a formulated palatant,Dogs and cats,5/20/2025,no questions
78,CJ CheilJedang Corporation,Dried L-Arginine Fermentation Product,To be used as a source of L-arginine,poultry and swine,5/13/2025,withdrawn
79,"Bond Pet Foods, Inc.",Dried Saccharomyces cerevisiae expressing an ovine protein,To be used as a source of protein in adult maintenance diets for dogs at a maximum level of 15% of the diet.,Adult dogs,5/21/2025,no questions
80,"EnviroFlight, LLC",Black Soldier Fly Larvae Oil,To be used as source of energy,Dogs and cats,6/20/2025,no questions
81,CJ CheilJedang Corp.,Dried L-Isoleucine Fermentation Product,To be used as a source of L-isoleucine in swine and poultry feed.,Swine and poultry,6/13/2025,withdrawn
82,BASF Corporation,Beta-mannanase from a Thermothelomyces thermophilus strain expressing an altered man1 gene from Trichoderma reesei,"Utility information not evaluated for GRAS, see FDA’s letter for more information.",Swine,7/15/2025,no questions
83,AB Enzymes GmbH,Serine-endopeptidase,To hydrolyze vegetables and animal proteins in food for all animals.,All animals,7/30/2025,withdrawn
84,"Kerry, Incorporated",Yeast Beta-Glucan,"Utility information not evaluated for GRAS, see FDA’s letter for more information.",Dogs and cats,9/3/2025,no questions
85,"Enviroflight, LLC",Dried Black Soldier Fly Larvae,To be used as a source of protein and fat,Dogs and cats,9/18/2025,no questions
86,"Calysta, Inc.",Dried Methylococcus capsulatus Product,To be used as a source of protein in food for dogs,Dogs,12/01/2025,withdrawn
87,Anitox Corporation,Nonanoic acid,To be used as a flavoring agent in swine and poultry feeds,Swine and poultry,12/04/2025,pending
88,Zinpro Corporation,Calcium isoacids,To be used as a source of energy in dairy cattle feed,Dairy cattle,12/09/2025,pending
89,Redbarn Pet Products,Hydroxypropyl cellulose,To be used as a film coating on dry food and treats for dogs,Dogs,1/5/2026,pending
90,"NexGen Innovations, LLC",Ligilactobacillus salivarius L28,To be used as a direct-fed microorganism in beef and dairy cattle,Beef and dairy cattle,1/9/2026,pending
91,Corbion,Marine Microalgae Oil from Schizochytrium sp.,To be used as a source of docosahexanoic acid in food for cats and dogs,Cats and dogs,5/5/2026,pending
92,"Terragen Biotech, Pty Ltd","Lacticaseibacillus paracasei , strain NMI V12/022849",To be used as a direct-fed microbial,Ruminants,5/12/2026,pending
93,Akeso Biomedical Inc,Ferric Citrate Chelate,To be used as a source of iron,Poultry and swine complete feed,6/29/2026,pending
94,"Bond Pet Foods, Inc.",Dried Saccharomyces cerevisiae expressing a galline protein,To be used as a source of protein,Adult dogs,7/24/2026,pending
