grn,substance,notifier,closure_date,outcome
66,Milk thistle extract,JHB Inc.,04/23/2001,rejected
67,Milk-derived lactoferrin,"Farmland National Packaging Company, L.P.",10/23/2001,no questions
68,Lipase from Penicillium camembertii,Amano Enzyme Inc.,05/29/2001,no questions
69,Behenic acid,Thixo Limited,05/14/2001,no questions
70,Stearyl alcohol,Thixo Limited,04/23/2001,no questions
71,"White mineral oil, USP (viscosity ISO 100 )",American Ingredients Company,04/20/2001,no questions
72,Pullulanase derived from Bacillus licheniformis carrying a gene encoding pullulanase from B. deramificans,Genencor International Inc.,06/12/2001,no questions
73,Shrimp-derived chitosan,Primex Ingredients ASA,01/31/2002,withdrawn
74,Beta-cyclodextrin,Wacker Biochem Corp.,10/25/2001,no questions
75,Lipase derived from Aspergillus oryzae carrying a gene encoding lipase from Fusarium oxysporum,Novozymes North America Inc.,08/14/2001,no questions
76,Erythritol,Cerestar Holding B.V.,09/11/2001,no questions
77,Milk-derived lactoferrin,DMV International,08/14/2001,no questions
78,D-Tagatose,Arla Foods Ingredients amba,10/25/2001,no questions
79,alpha-Amylase derived from Bacillus licheniformis carrying a gene encoding a modified alpha-amylase from Bacillus licheniformis,Novozymes North America Inc.,12/19/2001,no questions
80,ARASCO (arachidonic acid-rich single-cell oil),Mead Johnson Nutritionals,12/11/2001,no questions
81,Lipase from Candida rugosa,"Amano Enzyme, Inc.",02/07/2002,no questions
82,"1,1,1,2-Tetrafluoroethane (HFC-134a)","INEOS Fluor, Ltd.",06/05/2002,no questions
83,Carbon monoxide,Pactiv Corporation,02/21/2002,no questions
84,Arabinogalactan from Eastern Larch ( Larix laricina ),"Larex, Inc.",02/19/2002,no questions
85,Isoamylase from Pseudomonas amyloderamosa,"Hayashibara International, Inc.",02/19/2002,no questions
86,"Coagulated potato protein, hydrolyzed potato protein, or clarified hydrolyzed potato protein",AVEBE b.a.,04/03/2002,no questions
87,Composite filtration media (diatomaceous earth and perlite),"World Minerals, Inc.",02/26/2002,no questions
88,Invertase enzyme preparation from Saccharomyces cerevisiae and lactase enzyme preparation from Kluyveromyces marxianus,Enzyme Technical Association,04/03/2002,no questions
89,"Five enzyme preparations from Aspergillus niger : Carbohydrase enzyme preparation, catalase enzyme preparation, glucose oxidase enzyme preparation, pectinase enzyme preparation, and protease enzyme preparation",Enzyme Technical Association,04/03/2002,no questions
90,"Carbohydrase enzyme preparation from Aspergillus oryzae , protease enzyme preparation from Aspergillus oryzae , and carbohydrase enzyme preparation from Rhizopus oryzae",Enzyme Technical Association,04/04/2002,no questions
91,Mycoprotein,Marlow Foods Ltd.,01/07/2002,no questions
92,Sucrose fatty acid esters,Mitsubishi Chemical Corporation,02/04/2002,rejected
93,Grape seed extract and grape skin extract,"Polyphenolics, Inc.",06/05/2002,rejected
94,Docosahexaenoic acid-rich oil from tuna (DHA-rich tuna oil) and arachidonic acid-rich oil from Mortierella alpina (AA-rich fungal oil),"Ross Products Division, Abbott Laboratories",04/18/2006,no questions
95,Transglutaminase from Streptoverticillium mobaraense,Ajinomoto USA,07/03/2002,no questions
96,Silk protein food powder,"The New Silk Road, Inc.",05/20/2002,rejected
97,Tuna oil,Clover Corporation Limited,06/24/2002,withdrawn
98,Small planktivorous pelagic fish body oil,Jedwards International,03/25/2002,withdrawn
99,Pullulan,Hayashibara International,08/01/2002,no questions
100,D-Ribose,"Bioenergy, Inc.",09/03/2002,rejected
101,Spirulina,"Cyanotech Corporation AND Earthrise Nutritionals, Inc.",05/28/2002,withdrawn
102,Small planktivorous pelagic fish body oil,Jedwards International,09/03/2002,no questions
103,Lipase enzyme preparation from Aspergillus oryzae carrying a gene constructed from a modified Thermomyces lanuginosus lipase gene and a portion of the Fusarium oxysporum lipase gene,"Novozymes North America, Inc.;",08/19/2002,no questions
104,Sucrose acetate isobutyrate,Eastman Chemical Company,08/16/2002,no questions
105,Fish oil concentrate,"Unilever United States, Inc.",10/15/2002,no questions
106,Glucose oxidase enzyme preparation from Aspergillus oryzae carrying a gene encoding a glucose oxidase from Aspergillus niger,"Novozymes North America, Inc.",10/03/2002,no questions
107,Polydextrose,Danisco Cultor America,10/17/2002,withdrawn
108,Glycerol ester of gum rosin,"T&R Chemicals, Inc.",12/20/2002,rejected
109,Tuna oil,Clover Corporation Limited,12/04/2002,no questions
110,Lutein esters,Cognis Corporation,01/21/2003,no questions
111,Lipase enzyme preparation from Aspergillus niger,Enzyme Technical Association,12/20/2002,no questions
112,Phytosterols,Teriaka Ltd.,02/04/2003,no questions
113,Lipase enzyme preparation from Aspergillus oryzae,Enzyme Technical Association,01/27/2003,no questions
114,Pectate lyase enzyme preparation from Bacillus subtilis,"Japan Cellfoods Co., Ltd.",01/27/2003,no questions
115,Diacylglycerol oil,ADM Kao L.L.C.,02/24/2003,no questions
116,Carrot fiber,"Wm. Bolthouse Farms, Inc.",03/20/2003,no questions
117,Ice structuring protein preparation,Unilever (Good Humor - Breyers),04/17/2003,no questions
118,Inulin,"Imperial-Sensus, LLC",05/05/2003,no questions
119,Synthetic lycopene,BASF Corporation,05/22/2003,no questions
120,Saccharomyces cerevisiae strain ML01 carrying a gene encoding the malolactic enzyme from Oenococcus oeni and a gene encoding malate permease from Schizosaccharomyces pombe,Lesaffre Yeast Corporation,06/30/2003,no questions
121,Xanthan gum,"Ingredients Solutions, Inc. AND Zibo Zhongxuan Biological Product Co., Ltd.",07/18/2003,no questions
122,Laccase enzyme preparation produced by Aspergillus oryzae expressing the gene encoding a laccase from Myceliophthora thermophila,"Novozymes North America, Inc.",07/18/2003,no questions
123,Laminaria japonica broth and extract powder,"Fuji Foods, Inc.",07/25/2003,no questions
124,Grape seed extract,San Joaquin Valley Concentrates,08/01/2003,no questions
125,Grape seed extract and grape pomace extract,"Polyphenolics, Inc.",08/18/2003,no questions
126,alpha-Amylase enzyme preparation from Pseudomonas fluorescens Biovar I expressing a gene encoding a hybrid alpha-amylase derived from three microorganisms within the order Thermococcales,Innovase LLC,09/26/2003,no questions
127,"Spirulina, the dried biomass of Arthrospira platensis","Cyanotech Corporation and Earthrise Nutritionals, Inc.",10/06/2003,no questions
128,Skim milk or dextrose cultured with Propionibacterium freudenreichii subsp. shermanii,Rhodia Inc.,11/26/2003,no questions
129,Sucrose fatty acid esters,Mitsubishi Chemical Corporation,11/07/2003,no questions
130,Bovine milk-derived lactoferrin,"aLF Ventures, LLC",08/21/2003,no questions
131,High 2-palmitic vegetable oil,Loders Croklaan B. V.,12/04/2003,no questions
132,Lactase enzyme preparation from Aspergillus niger,Enzyme Technical Association,12/12/2003,no questions
133,Volatile oil of mustard,"CAREX, Inc.",01/05/2004,no questions
134,Soy protein hydrolyzate with enzyme-modified lecithin,"Kyowa Hakko U.S.A., Inc.",01/08/2004,no questions
135,ε-Polylysine,Chisso Corporation,01/16/2004,no questions
136,Calcium gluconate,Purac Biochem b.v.,02/05/2004,no questions
137,Algal oil ( Schizochytrium sp.),Martek Biosciences Corporation,02/12/2004,no questions
138,Fish oil,Ocean Nutrition Canada Ltd,04/20/2004,no questions
139,Cassia gum,"Noveon, Inc.",05/03/2004,withdrawn
140,Crystalline lutein,"Kemin Foods, L.C.",06/14/2004,no questions
141,Polyvinyl alcohol,Colorcon,04/28/2004,no questions
142,Phospholipase enzyme preparation from Aspergillus oryzae expressing the gene encoding a phospholipase A1 from Fusarium venenatum,Novozymes North America Inc.,06/23/2004,no questions
143,Carbon monoxide,"Precept Foods, LLC.",07/29/2004,no questions
144,Adenosine 5'-monophosphoric acid and its monosodium and disodium salts,Linguagen Corp.,07/29/2004,no questions
145,Phospholipase A2 enzyme preparation from Streptomyces violaceoruber,"Genencor International, Inc.",07/29/2004,no questions
146,Salmon oil,Jedwards International,08/17/2004,no questions
147,"Extracted "" seafood species "" protein","Proteus Industries, Inc.",08/26/2004,no questions
148,Vegetable oil conjugated linoleic acid preparation,Loders Croklaan B. V.,08/31/2004,withdrawn
149,Beta-glucanase enzyme preparation from Trichoderma harzianum,Novozymes North America Inc.,09/27/2004,no questions
150,Glucosamine hydrochloride prepared from chitin obtained from Aspergillus niger,"Cargill, Inc.",09/09/2004,withdrawn
151,Ethanol (ethyl alcohol),"Frito-Lay, Inc.",10/29/2004,no questions
152,Sodium iron EDTA,Kraft Foods Global,12/09/2004,no questions
153,Conjugated linoleic acid,Cognis Corporation,08/16/2004,withdrawn
154,Dried orange pulp,"Fiberstar, Inc.",12/13/2004,no questions
155,alpha -Cyclodextrin,Wacker Chemical Corporation,12/22/2004,no questions
156,"Tomato lycopene extract 6 percent, tomato lycopene extract 1.5 percent, and crystallized tomato lycopene extract","LycoRed Natural Products Industries, Ltd.",02/07/2005,no questions
157,Calcium propionate (alternative method of manufacture),Solutia Inc.,12/13/2004,no questions
158,Lipase preparation from Aspergillus niger expressing a gene encoding a lipase from Candida antartica,Novozymes North America Inc.,03/16/2005,no questions
159,Carnobacterium maltaromaticum strain CB1,Griffith Laboratories,05/27/2005,no questions
160,Micro-algal oil ( Ulkenia sp.),Nutrinova Nutrition Specialities & Food Ingredients GmbH,04/01/2005,withdrawn
161,"Chlorine dioxide, generated using sodium chlorite in calcined or sulfated kaolin clay",Engelhard Corporation,04/04/2005,no questions
162,Lactoferrin (human) purified from rice,Ventria Bioscience,11/16/2006,withdrawn
163,Tomato pulp powder,"LycoRed Natural Products Industries, Ltd.",08/08/2005,no questions
164,Lauramide arginine ethyl ester,"Laboratorios Miret, S.A. (LAMIRSA)",09/01/2005,no questions
165,Quillaia extract type 1,American Beverage Association,11/09/2005,no questions
167,Carbon monoxide,"Tyson Foods, Inc.",09/29/2005,no questions
168,Poultry protein,"Proteus Industries, Inc.",11/18/2005,no questions
169,Bovine globulin,"Proliant, Inc.",07/19/2005,withdrawn
170,Shrimp-derived chitosan,Primex ehf,10/31/2005,withdrawn
171,"Lactobacillus acidophilus , Lactobacillus lactis , and Pediococcus acidilactici",Nutrition Physiology Corporation,12/07/2005,no questions
172,Isomalto-oligosaccharide,"BioNeutra, Inc.",10/17/2005,withdrawn
173,Lycopene from Blakeslea trispora,Vitatene S.A.,12/01/2005,no questions
174,Lysozyme (human) enzyme preparation from rice,Ventria Bioscience,09/13/2005,withdrawn
175,Saccharomyces cerevisiae strain ECMo01 with enhanced expression of urea amidolyase,First Venture Technologies Corp.,01/06/2006,no questions
176,Plant sterols and plant sterol esters from vegetable oils or sterols/stanols from tall oil,Archer Daniels Midland Company,01/13/2006,no questions
177,Plant sterol esters,Heart Blend Foods LLC,12/20/2005,no questions
178,Sodium iron EDTA,Akzo Nobel Chemicals,01/11/2006,no questions
179,Polyglycerol polyricinoleic acid,Stepan Company,01/20/2006,no questions
180,Allyl isothiocyanate,Mitsubishi-Kagaku Foods Corporation,03/16/2006,no questions
181,Phytosterols,"Michael Foods, Inc.",03/16/2006,no questions
182,Hydrolyzed wheat gluten isolate; pea protein isolate,Martin Vialatte,06/27/2006,no questions
183,Phospholipase A2 enzyme preparation from Aspergillus niger expressing a gene encoding a porcine phospholipase A2,DSM Food Specialties,05/11/2006,no questions
184,Isomaltulose,SUDZUCKER AG Mannheim/Ochsenfurt,03/20/2006,no questions
185,Concentrated tomato lycopene extract,"San-Ei Gen F.F.I., Inc.",05/30/2006,no questions
186,Soy lecithin enzymatically modified to have increased phosphatidylserine,Lipogen Products (9000) Ltd.,07/20/2006,no questions
187,L(+) Tartaric acid (alternative method of manufacture),"S & G Resources, Inc AND Changmao Biochemical Engineering Co.",03/20/2006,no questions
