grn,substance,notifier,closure_date,outcome
290,L-arginine,"Ranzell Nickelson II, Ph.D.",11/02/2009,no questions
291,Crystalline lutein,Industrial Organica S.A. de C. V.,11/06/2009,no questions
292,Cellulase enzyme preparation derived from a genetically modified strain of Myceliophthora thermophila,Dyadic International (USA) Inc.,09/29/2009,no questions
293,Glutathione,"Kohjin Co., Ltd.",12/22/2009,no questions
294,Haematococcus pluvialis extract containing astaxanthin esters,"Fuji Chemical Industry Co., Ltd.",01/06/2010,no questions
295,Aqueous extract of Emblica officinalis,"Natreon, Inc.",11/23/2009,withdrawn
296,Lipase enzyme preparation from a genetically modified strain of Aspergillus niger,DSM Food Specialties,10/01/2009,no questions
297,Erythritol fatty acid esters,Stepan Company,12/15/2009,no questions
298,Silicon dioxide,Cabot Corporation,10/09/2009,withdrawn
299,Lycopene from Escherichia coli expressing lycopene biosynthetic enzymes,"Echem Hightech Co., Ltd.",09/22/2009,withdrawn
300,Trisodium diphosphate,Chemische Fabrik Budenheim KG,12/16/2009,no questions
301,Siraitia grosvenorii Swingle (Luo Han Guo) fruit extract (SGFE),BioVittoria Ltd.,01/15/2010,no questions
303,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,"Sunwin USA, LLC AND WILD Flavors",03/22/2010,no questions
304,Purified steviol glycosides with rebaudioside A and stevioside as the principal components,"Sunwin USA, LLC AND WILD Flavors",03/22/2010,no questions
305,Carnobacterium maltaromaticum strain CB1 (viable and heat-treated),Griffith Laboratories,04/19/2010,no questions
306,Soybean oil with reduced palmitic and linolenic acids and increased oleic acid,Monsanto Company,04/07/2010,no questions
307,Palm oil-derived tocols with tocotrienols and α-tocopherol as the principal components,Malaysian Palm Oil Board TAS America,04/23/2010,no questions
308,L-leucine,"Ajinomoto Aminoscience, LLC",04/30/2010,no questions
309,Beta-glucan derived from Aureobasidium pullulans,"Glucan Corporation, Limited",06/14/2010,no questions
310,Potato fiber,J. Rettenmaier USA LP,06/10/2010,no questions
311,Krill-based phosphatidylserine,Enzymotec Ltd.,06/15/2010,no questions
312,Synthetic dihydrocapsiate,"Ajinomoto USA, Inc.",06/06/2010,no questions
313,Beef protein,"Proteus Industries, Inc.",08/11/2010,no questions
314,Pork protein,"Proteus Industries, Inc.",08/11/2010,no questions
315,Transglucosidase enzyme preparation from Trichoderma reesei expressing the gene encoding transglucosidase from Aspergillus niger,"Genencor, a Danisco Division",05/04/2010,no questions
316,Sodium potassium hexametaphosphate,ICL Performance Products LP,06/28/2010,no questions
317,L-arginine,"Edge Food Products, LLC",07/12/2010,no questions
318,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,"Pyure Brands, LLC",05/15/2010,no questions
319,Micro-algal oil Ulkenia sp. SAM2179,Lonza Ltd.,08/04/2010,no questions
320,"Palm oil-derived carotenoids with β-carotene, α-carotene, γ-carotene, and lycopene",Malaysian Palm Oil Board TAS America,09/03/2010,no questions
321,Synthetic amorphous silica,Cabot Corporation,08/18/2010,no questions
322,Aqueous extract of Emblica officinalis,"Natreon, Inc.",06/16/2010,withdrawn
323,Purified steviol glycosides with rebaudioside A and stevioside as the principal components,"PureCircle USA, Inc.",07/09/2010,no questions
324,Heat-killed Lactobacillus plantarum,House Wellness Foods Corporation,07/07/2010,withdrawn
325,Olestra,The Procter & Gamble Company,08/30/2010,no questions
326,Arachidonic acid rich oil from M. alpina strain I 49 -N 18,"Cargill, Inc.",10/24/2010,no questions
327,Cruciferin-rich canola/rapeseed protein isolate and napin-rich canola/rapeseed protein isolate,Archer Daniels Midland Company,08/23/2010,no questions
328,"Polysaccharide complex of konjac glucomannan (konjac), sodium alginate, and xanthan gum (polysaccharide complex KAX)","Inovo Biologic, Inc.",05/20/2011,rejected
329,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,"GLG Life Tech, Ltd.",09/10/2010,no questions
330,Algal flour ( Chlorella protothecoides ),"Solazyme, Inc.",06/01/2010,withdrawn
331,Algal oil ( Chlorella protothecoides ),"Solazyme, Inc.",06/01/2010,withdrawn
332,Oil from the seeds of the Korean pine ( Pinus koraiensis ) (Korean-pine nut oil),Lipid Nutrition B.V.,09/24/2010,no questions
333,Acid fungal protease enzyme preparation from Trichoderma reesei expressing the gene encoding acid fungal protease from T. reesei,"Genencor, a Danisco Division",09/24/2010,no questions
334,Galacto-oligosaccharides,"Yakult Pharmaceutical Industry Co., Ltd.",10/27/2010,no questions
335,Pine tree phytosterol esters,Arboris LLC,10/27/2010,no questions
336,ε-Polylysine (polylysine),Purac Biochem b.v.,08/24/2011,no questions
337,Enzyme-modified steviol glycosides preparation (EMSGP),NOW Foods,06/17/2011,no questions
338,L-theanine extracted from tea leaves ( Camellia sinensis ),Blue California,11/05/2010,no questions
339,Polyglutamic acid,"Ajinomoto Corporate Services, LLC",11/06/2010,no questions
340,Theobromine,"Theocorp Holding Company, LLC",11/10/2010,withdrawn
341,Quercetin,Quercegen Pharma LLC,11/22/2010,no questions
342,Oat hull fiber,J. Rettenmaier USA LP,12/23/2010,no questions
343,Wheat bran extract composed primarily of xylo- and arabinoxylo-oligosaccharides,Fugeia NV,11/22/2010,no questions
344,Barley fiber,"Cargill, Incorporated",05/23/2011,no questions
345,Carboxypeptidase enzyme preparation from modified Aspergillus niger,DSM Food Specialties,12/22/2010,no questions
346,Freeze-dried fruit gac powder,"VitaGac, LLC",09/10/2010,withdrawn
347,Caffeine,"Phusion Projects, LLC",11/24/2010,withdrawn
348,Stevioside purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (stevioside),"GLG Life Tech, Ltd.",07/14/2011,no questions
349,Purified steviol glycosides with rebaudioside A and stevioside as the principal components,"GLG Life Tech, Ltd.",07/14/2011,no questions
350,"Saccharomyces cerevisiae strain P1Y0, a variant of S. cerevisiae parent strain UCD2034","Phyterra Yeast, Inc.",02/04/2011,no questions
351,Dunaliella bardawil,Nikken Sohonsha Corporation,02/11/2011,no questions
352,D-Tagatose,"CJ Cheiljedang, Inc.",02/01/2011,no questions
353,High-selenium yeast,Alltech,03/01/2011,no questions
354,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (rebaudioside A),"Guilin Layn Natural Ingredients, Corp.",07/15/2011,no questions
355,Eicosapentaenoic acid (EPA)-rich triglyceride oil from Yarrowia lipolytica,DuPont Applied Biosciences,03/07/2011,no questions
356,Haematococcus pluvialis extract containing astaxanthin esters,Algatechnologies Ltd.,11/15/2010,withdrawn
357,Lactobacillus acidophilus NCFM,"Danisco USA, Inc.",04/19/2011,no questions
359,Siraitia grosvenorii Swingle (Luo Han Guo) fruit extracts (SGFE),Guilin Layn Natural Ingredients Corp.,04/11/2011,no questions
360,Hydrolyzed sardine protein,Katsuhiro Osajima Senmi Ekisu Co. Ltd.,05/16/2011,no questions
361,"1,4-α-D-glucan branching enzyme preparation","Takashi Kuriki Ezaki Glico Co., Ltd.",01/31/2011,withdrawn
362,Levocarnitine,"Northeast Pharmaceutical Group Co., Ltd. (NEPG)",03/09/2011,withdrawn
363,Calcium disodium ethylenediaminetetraacetic acid (EDTA) and disodium EDTA,Del Monte Foods,06/06/2011,no questions
364,"Bacteriophages LAND12, OLB1, TSRW1, DSMP1, DP1","OmniLytics, Inc.",03/16/2011,withdrawn
365,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (rebaudioside A),BrazTek International Inc. d/b/a Rio Natural,08/18/2011,no questions
366,Oat hull fiber,"Z Trim Holdings, Inc.",04/06/2011,withdrawn
367,Purified steviol glycosides with rebaudioside A and stevioside as the principal components,"Sinochem Health Company, Ltd.",07/08/2011,no questions
369,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,"Zhucheng Haotian Pharm Co., Ltd. C/O Shanghai Freemen Americas, LLC",10/11/2011,no questions
370,Xylooligosaccharide,"Shangdong Longlive Bio-technology Co., Ltd.",03/28/2011,withdrawn
371,Krill oil,EVP Documentation,07/22/2011,no questions
372,Glucoamylase enzyme preparation from Trichoderma reesei expressing the glucoamylase gene from T. reesei (glucoamylase enzyme preparation),"Genencor, a Danisco Division",07/25/2011,no questions
373,Rice bran fiber,"CJ America, Inc.",08/19/2011,no questions
374,Maleated isoprenyl polymer with methoxy-polyethylene glycol (MIP-MPEG),Revolymer Limited,08/16/2011,no questions
375,Enzyme-modified steviol glycosides,"Toyo Sugar Refining Co., Ltd. AND Nippon Paper Chemicals Co., Ltd.",09/02/2011,no questions
376,Milk mineral concentrate,Armour Proteines,10/11/2011,no questions
377,Bifidobacterium animalis subsp. lactis strain Bf-6,"Cargill, Inc.",09/29/2011,no questions
378,"Cultured [dairy sources, sugars, wheat, malt, and fruit- and vegetable-based sources] fermented by [Streptococcus thermophilus, Bacillus coagulans, Lactobacillus acidophilus, Lactobacillus paracasei subsp. paracasei, Lactobacillus plantarum, Lactobacillus sakei, Lactobacillus bulgaricus and Proprionibacterium freudenreichii subsp. shermanii or mixtures of these strains]",PURAC,03/26/2012,no questions
379,Tuna oil,Ocean Nutrition Canada Ltd,11/08/2011,no questions
380,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (rebaudioside A),GLG Life Tech Corporation,11/28/2011,no questions
381,Phytic acid,"Tsuno Food Industrial Co., Ltd.",06/04/2012,no questions
382,Erythritol,"Baolingbao Biology Co., Ltd.",11/21/2011,no questions
383,Magnesium dihydrogen pyrophosphate (MDPP),Chemische Fabrik Budenheim KG,12/02/2011,no questions
384,Algal oil derived from Chlorella protothecoides strain S106 (Cp algal oil),"Solazyme, Inc.",06/13/2012,no questions
385,Lutein,OmniActive Health Technologies Ltd.,12/16/2011,no questions
386,Canola protein isolate and hydrolyzed canola protein isolate,BioExx Specialty Proteins Ltd.,12/28/2011,no questions
387,Plant-derived esterified and non-esterified sterols and stanols (phytosterols),"Cognis Corporation, Nutrition and Health",12/19/2011,no questions
388,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (rebaudioside A),Chengdu Wagott Pharmaceutical,01/09/2012,no questions
389,Steviol glycosides with stevioside as the principal component,Chengdu Wagott Pharmaceutical,01/18/2012,no questions
390,Suspended lutein,Abbott Nutrition,01/09/2012,no questions
391,Spirulina ( Arthrospira platensis ),"E.I.D. Parry (India) Limited Parry Nutraceuticals Division ""Dare House""",10/06/2011,withdrawn
392,Oligofructose,Pfizer Nutrition and BENEO-Orafti,05/07/2012,no questions
393,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (rebaudioside A),"Daepyung Co., Ltd.",01/23/2012,no questions
394,"Dried biomass of Arthrospira platensis , also known as Spirulina platensis (Spirulina)","RFI, Inc.",06/04/2012,no questions
395,Steviol glycosides with rebaudioside A and stevioside as the principal components,"Daepyung Co., Ltd.",01/24/2012,no questions
396,Chlorella vulgaris strain Beij,"RFI, Inc.",07/05/2012,withdrawn
397,Chitosan from Aspergillus niger,KitoZyme sa,12/19/2011,no questions
398,Vegetable oil and tall oil derived phytosterol and phytosterol ester formulations,Cargill Inc.,02/13/2012,no questions
400,D-psicose,"CJ Cheiljedang, Inc.",06/18/2012,no questions
401,Erythritol,O'Laughlin (Tianjin) Biotechnology Company,03/22/2012,no questions
402,Peroxidase enzyme preparation derived from a genetically modified strain of Aspergillus niger,DSM Food Specialties,11/23/2012,no questions
403,"Carnallite sea salt (magnesium chloride, potassium chloride, salt)",ICL Performance Products LP,05/15/2012,no questions
405,"1,4-α-glucan branching enzyme preparation from Geobacillus stearothermophilus strain TRBE14","Ezaki Glico Co., Ltd.",09/11/2012,no questions
406,"1,4-α-glucan branching enzyme preparation from Bacillus subtilis strain 168 expressing the glucan branching enzyme gene from Aquifex aeolicus strain VF5","Ezaki Glico Co., Ltd.",09/11/2012,no questions
407,"Polysaccharide complex of konjac glucomannan (konjac), sodium alginate, and xanthan gum (polysaccharide complex KAX)","Inovo Biologic, Inc.",04/10/2012,no questions
408,Sulfuric acid and sodium sulfate,"Advanced Food Technologies, LLC",03/06/2012,no questions
409,Lactobacillus reuteri strain NCIMB 30242,Micropharma Ltd.,01/10/2012,withdrawn
410,Lactobacillus reuteri strain DSM 17938,"Nestle Nutrition, U.S.",03/26/2012,no questions
411,Egg yolk-derived phospholipids,Laurent PHILIPPIN OVOLIFE,11/20/2012,no questions
412,Chitin-glucan from Aspergillus niger,KitoZyme sa,06/18/2012,no questions
413,Beta glucans derived from Ganoderma lucidum mycelium,"Super Beta Glucan, Inc.",08/10/2012,no questions
414,L-lysine monohydrochloride,The Procter & Gamble Company,11/20/2012,no questions
415,Heat-killed Propionibacterium freudenreichii ET-3 culture (powder),"Meiju Co., Ltd.",12/26/2012,no questions
416,Lutein diacetate,Industrial Organica S.A. de C. V.,03/20/2012,withdrawn
417,Dried biomass of Arthrospira platensis also known as Spirulina platensis (spirulina),"E.I.D. Parry (India) Limited Parry Nutraceuticals Division ""Dare House""",08/10/2012,no questions
418,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (rebaudioside A),"MiniStar International, Inc.",06/07/2012,no questions
419,L-alpha-glycerylphosphorylcholine,"ChemiNutra, Inc.",11/20/2012,no questions
420,Calcium acid pyrophosphate,"Innophos, Inc.",08/10/2012,no questions
421,Sucrose fatty acid esters,Libaeration Ltd.,08/10/2012,no questions
422,Modified baker's yeast Saccharomyces cerevisiae,Functional Technologies Corporation,08/31/2012,no questions
423,Cow's milk-derived lactoferrin,"Morinaga Milk Industry Co., Ltd",05/02/2012,withdrawn
424,"C-c-phycocyanin-enriched water extract of the cyanobacterium Arthrospira maxima or Arthrospira platensis , (also known as Spirulina maxima or Spirulina platensis )","Desert Lake Technologies, LLC",12/06/2012,no questions
425,Canola oil (low erucic acid rapeseed oil),Danone Trading B.V.,11/20/2012,no questions
426,Rice hull fiber,"RIBUS, Inc.",05/29/2012,withdrawn
428,Asparaginase enzyme preparation from genetically modified Aspergillus niger,DSM Food Specialties,11/26/2012,no questions
429,Lactobacillus casei strain Shirota,"Yakult Honsha Co., Ltd.",12/10/2012,no questions
430,Sugar beet fiber,Nordic Sugar A/S,03/06/2013,no questions
431,Colostral whey protein concentrate,"Sterling Technology, Inc.",10/12/2012,withdrawn
432,Lutein diacetate,Industrial Organica S.A. de CV,11/14/2012,no questions
433,Poloxamer fatty acid esters,Chemical Products Corporation,08/03/2012,withdrawn
434,Dried aqueous extract derived from white kidney bean ( Phaseolus vulgaris ),"Pharmachem Laboratories, Inc.",10/10/2012,withdrawn
436,Enzyme-modified dextrins,Roquette Freres,01/18/2013,no questions
437,Beta-glucans from oat bran,"Garuda International, Inc.",01/27/2013,no questions
438,Plant stanol esters,"Raiso Nutrition Ltd., Benecol Division",01/16/2013,no questions
439,Iron complex of tartaric acid,Akzo Nobel Industrial Chemicals BV,11/09/2012,withdrawn
440,Lactobacillus reuteri strain NCIMB 30242,Micropharma Ltd.,02/12/2013,no questions
441,Sodium ferrous citrate,"Eisai Food and Chemical Co., Ltd.",05/10/2013,no questions
442,Volatile oil of mustard (white),"ConAgra Foods, Inc.",01/03/2013,withdrawn
443,Shrimp-derived chitosan,Primex ehf,02/11/2013,withdrawn
444,Milk protein concentrate and milk protein isolate,American Dairy Products Institute and U.S. Dairy Export Council,03/18/2013,withdrawn
445,"Bifidobacterium animalis subsp. lactis strains HN019, Bi-07, Bl-04 and B420","Danisco USA, Inc.",04/10/2013,no questions
446,Red grape pomace extract,Groupe GRAP'SUD,04/15/2013,no questions
447,Potato protein isolates,Solanic B.V.,05/24/2013,no questions
448,Enzyme-modified steviol glycosides,"Daepyung Co., Ltd.",05/03/2013,no questions
449,Medium chain triglycerides,"Lonza, Inc.",02/19/2014,withdrawn
450,Chlorella protothecoides S106 flour with 40-70% lipid,"Solazyme Roquette Nutritionals, LLC",04/19/2013,withdrawn
451,Calcium ascorbate with added threonate,The Ester C Company,08/05/2013,no questions
452,Enzyme-modified steviol glycosides,"Daepyung Co., Ltd.",07/01/2013,no questions
453,Bifidobacterium breve M-16V,"Morinaga Milk Industry Co., Ltd",09/27/2013,no questions
454,Bifidobacterium breve M-16V,"Morinaga Milk Industry Co., Ltd",09/27/2013,no questions
455,Bifidobacterium breve M-16V,Danone Trading B.V.,09/30/2013,no questions
456,Rebaudioside D purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (rebaudioside D),"PureCircle USA, Inc.",07/01/2013,no questions
457,Bacteroides xylanisolvens strain DSM 23964,Avitop GmbH,12/16/2013,no questions
458,Xylooligosaccharides,"Shandong Longlive Bio-technology Co., Ltd.",08/23/2013,no questions
459,Olive pulp extract,Phenofarm s.r.l.,03/25/2013,withdrawn
460,Curcuminoids purified from turmeric ( Curcuma longa L.),Sabinsa Corporation,08/23/2013,no questions
461,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni (rebaudioside A),Almendra Limited,08/14/2013,no questions
462,Lipase enzyme preparation from modified Pseudomonas fluorescens Biovar I,Verenium Corporation,06/06/2013,no questions
463,"Lactobacillus acidophilus strain NP 28, Lactobacillus acidophilus strain NP51, Lactobacillus subsp. lactis strain NP7, and Pediococcus acidilactici strain NP3","Guardian Food Technologies, LLC",01/16/2014,withdrawn
466,Polyglycerol polyricinoleic acid,"McCormick & Company, Inc.",09/25/2013,no questions
467,Rebaudioside A purified from the leaves of Stevia rebaudiana (Bertoni) Bertoni,"Qufu Xiangzhou Stevia Products Co., Ltd.",11/25/2013,no questions
468,"Preparation containing the bacterial monophages, Fo1a and S16, specific to Salmonella",Micreos B.V.,12/23/2013,no questions
469,Chlorella protothecoides strain S106 flour with 40-70% lipid (algal flour),"Solazyme Roquette Nutritionals, LLC",06/07/2013,no questions
470,Ethyl cellulose,Dow Wolff Cellulosics,12/16/2013,no questions
471,Annatto seed extract,"American River Nutrition, Inc.",05/19/2014,no questions
472,Xylanase enzyme preparation derived from Bacillus licheniformis carrying a gene encoding a modified xylanase from B. licheniformis,"Novozymes North America, Inc.",01/10/2014,no questions
473,Purified steviol glycosides with rebaudioside X as the principal component,"PureCircle, Ltd.",12/17/2013,no questions
474,Piperine derived from the fruits of Piper nigrum L (black pepper) or P. longum (long pepper),Sabinsa Corporation,09/19/2013,withdrawn
475,Citrus fruit extract,"BIOSECUR Lab, Inc.",05/08/2014,no questions
476,Asparaginase enzyme preparation produced by genetically modified Bacillus subtilis,"Novozymes North America, Inc.",02/03/2014,no questions
477,Long-chain inulin,Danone Trading B.V.,03/04/2014,no questions
478,Rice hull fiber,SunOpta Ingredients Group,09/14/2015,no questions
479,"Beta-glucanase, cellulase, and xylanase enzyme preparation from Talaromyces emersonii",DSM Food Specialties,03/07/2014,no questions
480,Dried aqueous extract derived from white kidney bean ( Phaseolus vulgaris ),"Pharmachem Laboratories, Inc.",05/30/2014,no questions
481,Meso-zeaxanthin,Industrial Organical S.A. de C.V.,04/11/2014,no questions
482,Beta-glucanase and xylanase enzyme preparation from Disporotrichum dimorphosporum,DSM Food Specialties,07/03/2014,no questions
483,Aqueous extract of Emblica officinalis,"Natreon, Inc.",04/17/2014,no questions
484,Galacto-oligosaccharides,"Clasado, Inc.",05/08/2014,no questions
485,Beta-galactosidase enzyme preparation,"Clasado, Inc.",04/15/2014,no questions
486,Oil from the seeds of Buglossoides arvensis,"Technology Crops International, LLC",12/23/2014,no questions
487,Dried citrus pulp,"Fiberstar, Inc.",06/06/2014,no questions
488,Benzalkonium chloride,"Marvel Technologies USA, LLC",05/15/2014,withdrawn
489,Galacto-oligosaccharides,"International Dairy Ingredients, Inc.",05/22/2014,no questions
491,Rooster combs extract,Bioberica S.A.,06/06/2014,no questions
492,Phytosterols and phytosterol esters,Vitae Naturals,06/24/2014,no questions
493,High purity steviol glycosides (minimum purity 95%),GLG Life Tech Corporation,05/30/2014,no questions
494,"Fatty acid ethyl ester from anchovy or menhaden oil, standardized to approximately 50 percent palmitoleic acid","Tersus Pharmaceuticals, LLC",12/16/2014,no questions
495,Galacto-oligosaccharides,Clasado Inc.,05/30/2014,no questions
496,Aqueous extract of Brassica oleracea var. italica Plenck seeds.,Brassica Products LLC,01/11/2016,no questions
497,Polyphenols from the fruit of Litchi chinensis Sonn. and from leaves of Camellia sinensis (L.) Sinensis,"Amino Up Chemical Co., Ltd.",06/12/2014,no questions
498,D-psicose,"Matustani Chemical Industry Company, Ltd.",06/12/2014,no questions
499,Magnesium L-threonate hydrate,"Magceutics, Inc.",09/03/2014,no questions
500,Hydroethanolic extract of Caralluma fimbriata,GE Nutrients,08/11/2014,no questions
501,L-theanine (chemically synthesized),"Zhejiang Tianrui Chemical Co., Ltd.",07/30/2014,no questions
502,Lactobacillus acidophilus La-14,"Danisco USA, Inc.",08/19/2014,no questions
503,Tamarind seed polysaccharide,"DSP GOKYO FOOD & CHEMICAL Co., Ltd.",08/12/2014,no questions
504,Milk protein concentrate and milk protein isolate,American Dairy Products Institute/U.S. Dairy Export Council,11/21/2014,no questions
505,Phosphodiesterase I enzyme preparation from Leptographium procerum,DSM Food Specialties,08/12/2014,no questions
506,"Sacha inchi oil, a vegetable oil derived from Plukenetia volubilis .",Agronidustrias Amasonicas S.A./Agronidustrias OSHO S.A.C./Amazon Health Products,09/10/2014,no questions
507,Amylomaltase enzyme preparation from Bacillus amyloliquefaciens carrying an amylomaltase gene from Thermus thermophiles,DSM Food Specialties,09/11/2014,no questions
509,Glucose oxidase enzyme preparation derived from Penicillium chrysogenum,"Shin Nihon Chemical Co., Ltd.",11/06/2014,no questions
510,Acid lactase from Aspergillus oryzae expressed in Aspergillus niger,DSM Food Specialties,09/29/2014,no questions
511,Citric acid esters of mono- and diglycerides,Nestle Nutrition U.S.,11/10/2014,no questions
512,High purity Rebaudioside M,GLG Life Tech Corporation,10/24/2014,no questions
513,"Dried biomass of Euglena gracilis containing beta-1,3-glucan from Euglena gracilis","Algaeon, Inc.",07/09/2014,withdrawn
514,Sucrose fatty acid esters,Sisterna B.V.,12/03/2014,no questions
515,D-beta-hydroxybutyrate ester,TdeltaS Limited,03/05/2015,no questions
516,Steviol glycosides with rebaudioside A and stevioside as the principal components,Almenda (Thailand) Limited,10/31/2014,no questions
517,Natamycin,DSM Food Specialties B.V.,11/21/2014,no questions
518,Galacto-oligosaccharides,New Francisco Biotechnology Corporation,12/22/2014,no questions
519,Chlorella protothecoides strain S106 flour with 40-75% protein,"Solazyme, Inc.",12/23/2014,no questions
520,Hydrogen gas,"MitoGene Beverage Company, LLC",11/28/2014,no questions
521,Conjugated linoleic acid isomers,INNOBIO Limited,12/08/2014,no questions
522,Siraitia grosvenorii Swingle (Luo Han Guo) fruit extract,GLG Life Tech Corporation,12/08/2014,no questions
523,l-leucine,INNOBIO Limited,12/11/2014,no questions
525,Pea fiber,Fuji Oil Company Limited,09/24/2014,no questions
526,Bacillus coagulans strain Unique IS2 spores preparation,Unique Biotech Limited,03/23/2015,no questions
527,Algal oil (87% oleic acid) derived from Prototheca moriformis strain S2532,"Solazyme, Inc.",02/06/2015,no questions
528,"Preparation containing six bacterial monophages (LIST-36, LMSP-25, LMTA-34, LMTA-57, LMTA-94 and LMTA-148) specific to Listeria monocytogenes","Intralytix, Inc.",12/23/2014,no questions
529,Seed of Phalaris canariensis L. (canary seed),Canaryseed Development Commission of Saskatchewan,01/29/2015,no questions
530,Extract of Apocynum venetum leaves,"Tokiwa Phytochemical Co., LTD",11/05/2014,withdrawn
531,Lactobacillus fermentum CECT5716,"Biosearch Life, S.A.",03/20/2015,no questions
532,Complexation products of sodium tartrates with iron (III) chloride,Nobian Industrial Chemicals B.V.,02/06/2015,no questions
533,Canola-derived lecithin/lysolecithin,American Lecithin Company,03/20/2015,no questions
534,Hydrogenated lecithin from soy,American Lecithin Company,12/22/2014,no questions
535,Beta-glucanase from Streptomyces violaceoruber,Nagase America Corporation,02/03/2015,no questions
536,High purity rebaudioside C,GLG Life Tech Corporation,02/12/2015,no questions
538,Potassium-rich extract from Saccharum officinarum L. (sugarcane),"Nutraceutical and Natural Products AG and Department of Agriculture, Fisheries, and Forestry (Australia)",04/19/2015,no questions
539,Fish meal-based lipid extract,Enzymotec Ltd.,06/15/2015,withdrawn
540,Soybean leghemoglobin from Pichia pastoris,"Impossible Foods, Inc.",11/10/2015,withdrawn
541,Insoluble fiber from citrus peel,Ceamsa,03/24/2015,no questions
542,Lutein,INNOBIO Limited,03/16/2015,no questions
543,Lutein esters,INNOBIO Limited,03/16/2015,no questions
544,β-glucans from oat bran,Tate and Lyle,05/05/2015,no questions
545,Phosphatidylserine derived from sunflower,Enzymotec,06/05/2015,no questions
546,2'-O-fucosyllactose,Glycom A/S,09/16/2015,no questions
547,Lacto- N -neotetraose,Glycom A/S,10/02/2015,no questions
548,High purity rebaudioside D,GLG Life Tech Corporation,04/22/2015,no questions
549,Sodium salts of fatty acids from Mortierella alpina oil,Jost Chemical Company,06/05/2015,withdrawn
550,Meso-zeaxanthin,INNOBIO Limited,03/27/2015,no questions
551,Aspartic protease derived from the flowers of Cynera cardunculus L.,"Fytozimus Biotech, Inc.",03/26/2015,no questions
552,Succinic acid,BioAmber Inc.,05/13/2015,no questions
553,Algal oil (40% docosahexaenoic acid) derived from Schizochytrium sp.,DSM Nutritional Products,06/19/2015,no questions
554,Synthetic amorphous silica,Evonik Corporation,05/14/2015,no questions
555,High purity steviol glycosides (minimum purity 95%) consisting primarily of rebaudioside A.,Procuctora Alysa SpA,04/21/2015,no questions
556,Siraitia grosvenorii Swingle (Luo Han Guo) fruit extract,"Hunan Huacheng Biotech, Inc.",06/17/2015,no questions
557,Polygalacturonase from Aspergillus tubingensis expressed in Trichoderma reesei,AB Enzymes GmbH,07/23/2015,no questions
558,Pectin esterase from Aspergillus tubingensis expressed in Trichoderma reesei,AB Enzymes GmbH,07/23/2015,no questions
559,Bacillus coagulans,"BiOWiSH Technologies, Inc.",04/02/2015,withdrawn
560,Bacillus licheniformis,"BiOWiSH Technologies, Inc.",04/02/2015,withdrawn
561,Bacillus pumilus,"BiOWiSH Technologies, Inc.",04/02/2015,withdrawn
562,Bacillus subtilis,"BiOWiSH Technologies, Inc.",04/02/2015,withdrawn
563,Protease from Fusarium venenatum,"Novozymes North America, Inc.",07/08/2015,no questions
564,Protease from Bacillus licheniformis,"Novozymes North America, Inc.",07/07/2015,no questions
566,Mannanase from Trichoderma reesei,AB Enzymes GmgH,05/21/2015,no questions
567,Xylanase from Trichoderma reesei,"Danisco USA, Inc.",05/08/2015,no questions
568,Apoaequorin,"Quincy Bioscience Manufacturing, Inc.",10/21/2015,withdrawn
569,Galacto-oligosaccharides (GOS),New Francisco Biotechnology Corporation,11/25/2015,no questions
570,Magnesium lactate,Exponent,01/26/2016,withdrawn
572,Lactase from Bifidobacterium bifidum produced in Bacillus licheniformis,"Novozymes North America, Inc.",08/28/2015,no questions
573,Calcium disodium ethylenediaminetetraacetate (EDTA),Exponent Inc.,10/22/2015,no questions
574,Phospholipase C from Pseudomonas fluorescens,DSM Food Specialties,07/23/2015,no questions
575,Oat protein,Tate & Lyle,09/18/2015,no questions
576,Oligofructose and inulin,"Nutricia North America, Inc.",12/09/2015,no questions
578,Natamycin,DM Food Specialties B.V,11/06/2015,no questions
579,Lactase from Bifidobacterium bifidum produced in Bacillus subtilis,Danisco US Inc.,11/05/2015,no questions
580,Haematococcus pluvialis extract containing astaxanthin esters,INNOBIO Limited,12/18/2015,no questions
581,Un-hydrolyzed and hydrolyzed pea protein,"World Food Processing, LLC",01/25/2016,no questions
583,Esterified propoxylated glycerol,"Choco Finesse, LLC",11/12/2015,no questions
584,Cellulase from Penicillium funiculosum,Danisco US Inc.,09/30/2015,no questions
585,1-methylcyclopropene complex,"Cellresin Technologies, LLC",01/29/2016,no questions
