fcn_no,effective_date,effective_year,substance,manufacturer
2525,"Jul 29, 2026",2026,Octyltriethoxysilane-modified titanium dioxide,Billions Europe Ltd.
2519,"Jul 11, 2026",2026,3-Amino-3-methyl-2-butanol (AMB; CAS Reg. No. 13325-14-9),Advancion Corporation
2511,"Jun 12, 2026",2026,2-methyl-4-isothiazolin-3-one (CAS Reg. No. 2682-20-4).,"Cotek Specialties (Taicang) Co., Ltd."
2510,"Jun 2, 2026",2026,Tricyclodecanedimethanol (CAS Reg. No. 26160-83-8 and 26896-48-0).,Setaş Kimya Sanayi A.Ş.
2507,"May 16, 2026",2026,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), dipicolinic acid (DPA) (CAS Reg. No. 499-83-2), and optionally sulfuric acid (SA) (CAS Reg. No. 7664-93-9)","Evonik Active Oxygens, LLC"
2506,"Jul 7, 2026",2026,"1,3-Dibromo-5,5-dimethylhydantoin (CAS Reg. No. 77-48-5) optionally containing up to 0.5 weight percent 1,3-dibromo-5-ethyl-5-methylhydantoin (CAS Reg. No. 82925-96-0)","Enviro Tech Chemical Services, Inc."
2505,"Jul 8, 2026",2026,"α-1,3-Glucan (CAS Reg. No. 9051-95-0)",International Flavors & Fragrances
2504,"Apr 22, 2026",2026,Nanocrystalline cellulose (CAS Reg. No. 9004-34-6),CelluForce
2502,"Jul 4, 2026",2026,"Fatty acids, C18-unsaturated, dimers, hydrogenated, polymers with hexamethylenediamine (CAS Reg. No. 800392-64-7)","Cargill, Incorporated"
2498,"May 22, 2026",2026,Silver-zinc-calcium-sodium-borate-phosphate glass,Laboratorios Argenol SL
2496,"Jun 17, 2026",2026,"1,2-Benzisothiazolin-3-one (BIT) (CAS Reg. No. 2634-33-5).","Troy Corporation, an Arxada Company"
2495,"Mar 31, 2026",2026,"1,2-Cyclohexanedicarboxylic acid, calcium salt (1:1), (1R, 2S)-rel- (CAS Reg. No. 491589-22-1).","Jiangsu Jiyi New Material Co., Ltd."
2494,"Mar 31, 2026",2026,Polylactide (polylactic acid; PLA) optionally containing up to 16 weight percent D-lactic acid polymer units (CAS Reg. No. 9051-89-2).,"Zhejiang Honor Biomaterials Co., Ltd."
2491,"Mar 25, 2026",2026,"Poly(oxy-1,2-ethanediyl), α-sulfo-ω-hydroxy-, C12-14-alkyl ethers, sodium salts (CAS Reg. No. 68891-38-3).",KLK Kolb Specialties B.V. KLK Tensachem S.A.
2490,"May 26, 2026",2026,Cyclic neopentanetetrayl bis(octadecyl phosphite) (CAS Reg. No. 3806-34-6).,SI Group
2488,"Jun 11, 2026",2026,"Poly(1,4-butylene glycol-co-succinate), optionally reacted with glycerol (CAS Reg. No. 56-81-5) and/or hexamethylene diisocyanate (CAS Reg. No. 124-09-4).","Zhuhai Kingfa Biomaterial Co., Ltd."
2486,"Mar 17, 2026",2026,Ethylene-vinyl acetate-vinyl alcohol (EVOH) copolymers (CAS Reg. No. 26221-27-2).,"Sinopec Chongqing SVW Chemical Co., Ltd."
2485,"Mar 13, 2026",2026,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,1-dichloroethene, 2-methyl-2-propenenitrile, and 2-propenoic acid (CAS Reg. No. 98806-17-8).",Unitika Ltd. Asahi Kasei Corporation
2484,"Mar 13, 2026",2026,"Dodecanoic acid, ethenyl ester, polymer with chloroethene and ethenyl acetate (CAS Reg. No. 25155-88-8), and, optionally, less than 1% by weight of glycidyl methacrylate (CAS Reg. No. 106-91-2).",WACKER Chemie AG
2483,"Mar 8, 2026",2026,"1,2-Cyclohexanedicarboxylic acid, calcium salt (1:1), (1R, 2S)-rel- (CAS Reg. No. 491589-22-1).","Zhejiang Sinoview Materials & Technology Co., Ltd."
2482,"Feb 28, 2026",2026,"Copolymer of acrylamide, 2-methacryloxyethyltrimethylammonium chloride, itaconic acid, and N,N'-methylenebis(acrylamide) (CAS Reg. No. 214495-32-6).","Arakawa Chemical Industries, Inc. Nantong Arakawa Chemical Industries, Ltd. Arakawa Chemical (USA) Inc. Taiwan Arakawa Chemical Industries, Ltd. Arakawa Chemical Vietnam Co., Ltd."
2478,"Apr 8, 2026",2026,Pentaerythritol tetra(3-dodecylthiopropionate) (CAS Reg. No. 29598-76-3),Rianlon Corporation
2477,"Feb 13, 2026",2026,Ethylene propylene copolymer (CAS Reg. No. 9010-79-1).,Exxon Mobil Corporation
2476,"Feb 12, 2026",2026,"Aluminum magnesium carbonate hydroxide (quintinite), surface-treated with cis-1,2-cyclohexanedicarboxylic acid.",Kisuma Chemicals BV
2475,"Feb 7, 2026",2026,"A mixture of 1-decene, polymer with sulfur dioxide (CAS Reg. No. 33990-98-6); 1,3-propanediamine, N1-(9Z)-9-octadecen-1-yl-, polymer with 2-(chloromethyl)oxirane (CAS Reg. No. 1010121-89-7); and dodecylbenzenesulfonic acid (CAS Reg. No. 27176-87-0). REPLACES FCN 2001",Innospec Ltd.
2474,"Apr 9, 2026",2026,"1,2,4-Benzenetricarboxylic acid, mixed decyl and octyl triesters (CAS Reg. No. 90218-76-1)",Kao Specialties Americas LLC
2473,"May 7, 2026",2026,"Rice bran wax, oxidized (CAS Reg. No. 1883583-80-9) and its calcium salt (CAS Reg. No. 1850357-57-1)",Clariant Corporation
2468,"Feb 25, 2026",2026,"1,4-bis(2-ethylhexyl) benzenedicarboxylate (CAS Reg. No. 6422-86-2).",Valtris Specialty Chemicals
2466,"Mar 13, 2026",2026,Terpene resin (δ-3-carene) polymers and condensates with phenol (CAS Reg. No. 705265-37-8).,Les Derives Resiniques et Terpeniques
2465,"Jan 1, 2026",2026,Polyisoprene grafted polypropylene and/or poly(propylene-co-ethylene).,"GINPO PACK Co., Ltd."
2464,"Dec 27, 2025",2025,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), and optionally, sulfuric acid (SA) (CAS Reg. No. 7664-93-9).",Hydrite Chemical Co.
2463,"Oct 29, 2025",2025,Trisodium N-hydroxyethylenediaminetriacetate (CAS Reg. No. 139-89-9).,Henkel Corporation
2457,"Oct 10, 2025",2025,"2-Propen-1-aminium, N,N-dimethyl-N-2-propen-1-yl-, chloride (1:1) polymer with N-ethenylformamide, hydrolyzed, hydrochlorides (CAS Reg. No. 2803877-67-8).","SNF SA, SNF Inc."
2456,"Oct 9, 2025",2025,"Poly(oxy-1,2-ethanediyl), α-sulfo-ω-hydroxy-, C12-14-alkyl ethers, sodium salts (CAS Reg. No. 68891-38-3).",KLK Kolb Specialties B.V. KLK Tensachem S.A.
2455,"Jan 11, 2026",2026,"Poly(N-vinylformamide), 20-100 percent hydrolyzed hydrochloride salts. The FCS is specifically known as one of the following: formamide, N-ethenyl-, polymer with ethanamine, hydrochloride (CAS Reg. No. 111616-55-8); or formamide, ethenyl-, homopolymer, hydrolyzed, hydrochlorides (CAS Reg. No. 183815-54-5).",SNF S.A. SNF Inc.
2453,"Oct 2, 2025",2025,"2-Propenoic acid, polymer with sodium phosphinate (1:1), neutralized as sodium salt (CAS Reg. No. 129898-01-7), magnesium sodium salt (CAS Reg. No. 935545-65-6), calcium sodium salt, or calcium magnesium sodium salt. REPLACES FCN 1956",Coatex and Affiliates
2452,"Sep 27, 2025",2025,Ethylene/1-butene copolymer (CAS Reg. No. 25087-34-7).,Versalis S.p.A.
2451,"Jan 8, 2026",2026,"Acrylic copolymers of styrene (CAS Reg. No. 100-42-5), glycidyl methacrylate (CAS Reg. No. 106-91-2), and, optionally, ethyl acrylate (CAS Reg. No. 140-88-5), butyl acrylate (CAS Reg. No. 141-32-2), methyl methacrylate (CAS Reg. No. 80-62-6), methacrylic acid (CAS Reg. No. 79-41-4), acrylic acid (CAS Reg. No. 79-10-7), hydroxyethyl methacrylate (CAS Reg. No. 868-77-9), butyl methacrylate (CAS Reg. No. 97-88-1), and/or lauryl methacrylate (CAS Reg. No. 142-90-5). REPLACES FCNs 2175 and 2226","PPG Industries, Inc."
2450,"Oct 4, 2025",2025,"Poly(oxy-1,2-ethanediyl), α-sulfo-ω-hydroxy-, C12-16-alkyl ethers, sodium salts (CAS Reg. No. 161074-78-8).",Pilot Chemical Co.
2449,"Sep 20, 2025",2025,Boric Acid (CAS Reg. No. 10043-35-3).,Mitsubishi Chemical Corporation
2448,"Jan 4, 2026",2026,Long-chain branched polylactic acid.,TotalEnergies Corbion B.V.
2444,"Aug 19, 2025",2025,n-Octyl phosphonic acid (NOPA)-modified titanium dioxide (produced by chemically reacting NOPA (CAS Reg. No. 4724-48-5) with titanium dioxide to achieve a treatment level of 0.85% by weight of NOPA on the pigment).,"Kronos (US), Inc."
2443,"Aug 15, 2025",2025,"Anthranilamide (CAS name: Benzamide, 2-amino-) (CAS Reg. No. 88-68-6).",REPI (UK) Limited
2441,"Oct 18, 2025",2025,"2-propenoic acid, 2-(dimethylamino)ethyl ester, polymer with 2-propenamide and 2-propenoic acid (CAS Reg. No. 32840-16-7) modified with less than 0.5 wt-% N,N'-methylenebis(2-propenamide) (CAS Reg.No. 110-26-9).","Nalco Water, An Ecolab Company"
2440,"Jul 31, 2025",2025,"5-[[[cis-4-(1,1-Dimethylethyl)cyclohexyl]carbonyl]amino]-N 1 ,N 3 -bis[cis-4-(1-methylethyl)cyclohexyl]-1,3-benzenedicarboxamide (CAS Reg. No. 2649373-38-4).",Milliken Chemical
2438,"Jul 26, 2025",2025,"2,4-Bis[(dodecylthio)methyl]-6-methylphenol (CAS Reg. No. 110675-26-8).",Rianlon Corporation
2436,"Sep 11, 2025",2025,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), and optionally, sulfuric acid (SA) (CAS Reg. No. 7664-93-9).",Hydrite Chemical Co.
2434,"Jun 25, 2025",2025,2-Methyl-4-isothiazolin-3-one (CAS Reg. No. 2682-20-4).,Henkel Corporation
2432,"Aug 27, 2025",2025,"Hexanedioic acid, polymer with azacyclotridecan-2-one and α-hydro-ω-hydroxypoly(oxy-1,2-ethanediyl) (CAS Reg. No. 70290-02-7).","Arkema, Inc."
2431,"Jun 20, 2025",2025,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-[[4-[bis(2-hydroxyethyl)amino]-6-[(4-sulfophenyl)amino]-1,3,5-triazin-2-yl]amino]-, tetrasodium salt (CAS Reg. No. 16470-24-9).",Bann Química Ltda
2430,"Sep 5, 2025",2025,"Polyurethane resin formulated from bitolylene diisocyanate (CAS Reg. No. 91-97-4); 1,4-butanediol (CAS Reg. No. 110-63-4); poly(carbonic acid-co-hexamethylene glycol) (CAS Reg. No. 25037-68-7); and trimethylolpropane (CAS Reg. No. 77-99-6).",Freudenberg Sealing Technologies GmbH
2428,"May 13, 2025",2025,"5,5-Dimethylhydantoin (DMH) (CAS Reg. No. 77-71-4)",Solenis LLC
2427,"Apr 25, 2025",2025,Polyphenylene sulfide (CAS Reg. No. 26125-40-6 or 25212-74-2). REPLACES FCN 1180,"Toray Industries, Inc. Toray Advanced Materials Korea Inc."
2424,"Jun 18, 2025",2025,Poly((R)-3-hydroxybutyric acid-co-(R)-3-hydroxyvaleric acid) (CAS Reg. No. 92267-82-8).,"Ningbo Tianan Biologic Material Co., Ltd."
2423,"Apr 8, 2025",2025,"Poly(oxy(1,1'-biphenyl)-4,4'-diyloxy-1,4-phenylenesulfonyl-1,4-phenylene) (CAS Reg. No. 25839-81-0 and 25608-64-4).","Sumitomo Chemical Co., Ltd."
2422,"Apr 1, 2025",2025,"2-Propenoic acid, 2-cyano-3-(3,4-dimethoxyphenyl)-, 1,1'-[2,4,8,10-tetraoxaspiro[5.5]undecane-3,9-diylbis(2,2-dimethyl-2,1-ethanediyl)] ester, (2E,2'E)- (CAS Reg. No. 2233585-18-5). REPLACES FCN 2276","Chitec Technology Co., Ltd."
2420,"Mar 15, 2025",2025,Carbon Black (Thermal Carbon Black or Thermal Black) (CAS Reg. No. 1333-86-4).,Cancarb Limited
2419,"May 24, 2025",2025,2-Methyl-4-isothiazolin-3-one (CAS Reg. No. 2682-20-4),"Dalian Bio-Chem Company Ltd. Bester Trading Co., Ltd."
2414,"Feb 19, 2025",2025,Dimethyl dicarbonate (CAS Reg. No. 4525-33-1).,LANXESS Corporation
2413,"Feb 12, 2025",2025,Microfibrillated cellulose pulp (CAS Reg. No.: 65996-61-4). REPLACES FCN 2022,Fiberlean Technologies Limited
2412,"Feb 12, 2025",2025,Microfibrillated cellulose pulp (CAS Reg. No.: 65996-61-4).,Borregaard AS
2411,"Feb 8, 2025",2025,Microfibrillated cellulose pulp (CAS Reg. No. 65996-61-4).,Evergreen Packaging LLC
2410,"Feb 8, 2025",2025,Microfibrillated cellulose pulp (CAS Reg. No. 65996-61-4).,Sappi Biochemtech BV Sappi Papier Holding GmbH
2409,"Feb 8, 2025",2025,Microfibrillated cellulose pulp (CAS Reg. No. 65996-61-4).,Stora Enso Oyj
2408,"Feb 4, 2025",2025,Tricyclodecanedimethanol (CAS Reg. No. 26160-83-8 and 26896-48-0).,Metlac S.p.A. and its stewarded affiliates around the world
2407,"Feb 4, 2025",2025,Fluorphlogopite-based pearlescent pigments.,"NIHON KOKEN KOGYO Co., LTD."
2406,"Apr 8, 2025",2025,"[4-tert-butyl-2-(5-tert-butyl-2-oxo-3H-benzofuran-3-yl)phenyl] 3,5-ditertbutyl-4-hydroxy-benzoate (CAS Reg. No. 1261240-30-5). REPLACES FCNs 1254 and 1433","Chitec Technology Co., Ltd. Double Bond Chemical Ind. Co., Ltd. FDC, Lees Co., Ltd."
2404,"Mar 22, 2025",2025,"Styrene block polymer with 1,3-butadiene, hydrogenated (CAS Reg. No. 66070-58-4).",LCY GRIT Corporation
2403,"Mar 19, 2025",2025,Sodium sulfate salt of ethoxylated (7 moles of ethylene oxide) n- and isoundecyl alcohol (C11) (CAS Reg. No. 219756-63-5).,"KLK Kolb Specialties B.V., KLK Tensachem S.A."
2402,"Jan 7, 2025",2025,Polyethylene terephthalate copolyesters (diethylene glycol-isophthalate modified) prepared by the condensation of terephthalic acid and isophthalic acid with ethylene glycol.,Unitika LTD
2401,"Mar 12, 2025",2025,"Silicate(2-), hexafluoro-, disodium, reaction products with lithium magnesium sodium silicate (Type 1, containing fluorine) (CAS Reg. No. 85085-18-3), lithium magnesium sodium silicate (Type 2, without fluorine) (CAS Reg. No. 53320-86-8).",BYK-Chemie GmbH
2400,"Dec 27, 2024",2024,"2,2,4,4-tetramethylcyclobutane-1,3-diol.",Eastman Chemical Company
2397,"Dec 18, 2024",2024,"Fatty acids, C18-unsat., dimers, polymers with dodecanedioic acid, isophthalic acid, 4,4-methylenebis[2-methylcyclohexanamine], and terephthalic acid (CAS Reg. No. 2014364-77-1).",EMS-CHEMIE AG
2396,"Dec 13, 2024",2024,"Crosslinked 2-propenoic acid, homopolymer, sodium salt (CAS Reg. No. 9003-04-7).",Formosa Plastics Corporation
2395,"Feb 25, 2025",2025,Chlorine dioxide (CAS Reg. No. 10049-04-4).,Energis Solutions
2392,"Nov 2, 2024",2024,Zinc-silicate-sodium-calcium-potassium-borate glass.,"LG Electronics, Inc."
2391,"Jan 28, 2025",2025,"Fatty acids, C 16-18 , [9-(acetyloxy)-3,8,10-triethyl-7,8,10-trimethyl-1,5-dioxa-9-azaspiro[5.5]undec-3-yl]methyl esters (CAS Reg. No. 1422729-07-4).",BASF
2387,"Oct 22, 2024",2024,"Octadecyl 3,5-di-tert-butyl-4-hydroxyhydrocinnamate (CAS Reg. No. 2082-79-3).","Songwon International-Americas, Inc."
2386,"Oct 22, 2024",2024,"Phosphorous acid, cyclic neopentanetetrayl bis(2,4-di-tert-butylphenyl) ester (CAS Reg. No. 26741-53-7).",Rianlon Corporation
2384,"Dec 13, 2024",2024,Polylactide (Polylactic acid; PLA) optionally containing up to 16 weight percent D-lactic acid polymer units (CAS Reg. No. 9051-89-2).,Ingenia Polymers Corporation
2383,"Oct 5, 2024",2024,"Poly(ethylene 2,5-furandicarboxylate) (CAS Reg. No. 28728-19-0).",Avantium Renewable Polymers B.V. Avantium RNP Flagship Plant B.V.
2380,"Sep 28, 2024",2024,Carbon monoxide-ethylene-propylene terpolymer (CAS Reg. No. 88995-51-1) REPLACES FCN 1847,Hyosung Chemical Corporation
2379,"Sep 28, 2024",2024,"1,2-Benzisothiazolin-3-one (CAS Reg. No. 2634-33-5)","Cotek Specialities (Taicang) Co., Ltd."
2378,"Sep 25, 2024",2024,"Lauric acid, monoester with oxybis(propanediol) (CAS Reg. No. 96499-68-2)",Palsgaard A/S
2377,"Sep 18, 2024",2024,"Fatty acids, soya, epoxidized, 2-ethylhexyl esters (CAS Reg. No. 68082-34-8)",Valtris Specialty Chemicals
2372,"Nov 19, 2024",2024,Poly((R)-3-hydroxybutyric acid-co-(R)-3-hydroxyhexanoic acid) (CAS Reg. No. 198007-37-3).,"Bluepha Co., Ltd."
2371,"Aug 22, 2024",2024,"Magnesium and zinc complexes with 10-40% hydroxy(sulfinato)acetate (CAS Reg. No. 743407-32-1), 20-60% hydroxy(sulfonato)acetate (CAS Reg. No. 5980-14-3), and 5-30% glyoxylate (CAS Reg. No. 298-12-4).","Brüggemann Chemical US, Inc."
2370,"Aug 13, 2024",2024,Polyglycolic Acid (CAS Reg. No. 26124-68-5).,"CHN Energy Yulin Chemical Co., Ltd."
2369,"Sep 25, 2024",2024,"4-Cyclohexene-1,2-dicarboxylic acid, calcium salt (1:1) (CAS Reg. No. 57545-78-5)","GCH Technology Co., Ltd."
2368,"Jul 30, 2024",2024,"Butanoic acid, 3-hydroxy-, (3R)-, polymer with 4-hydroxybutanoic acid (CAS Reg. No. 125495-90-1) and butanoic acid, 3- hydroxy-, (3R)-, homopolymer (CAS Reg. No. 29435-48-1).","Beijing PhaBuilder Biotechnology Co., Ltd."
2367,"Jul 3, 2024",2024,An aqueous solution of hydrogen peroxide (CAS Reg. No. 7722-84-1).,Safe Foods Chemical Innovations and LPR Technologies
2363,"Jun 11, 2024",2024,"1,2-Cyclohexanedicarboxylic acid, calcium salt (1:1), (1R, 2S)-rel- (CAS Reg. No. 491589-22-1).","Beijing Jihaichuan S&D Co., Ltd."
2362,"Jun 7, 2024",2024,"A mixture of alcohols, C 12 -C 16 , with a degree of ethoxylation between 2.5 - < 40 moles ethylene oxide.",Tronox Holdings plc
2360,"Jun 5, 2024",2024,"1H-Azepine-1-carboxamide,N,N',N''-[(2,4,6-trioxo-1,3,5-triazine-1,3,5(2H,4H,6H)-triyl)tris[methylene(3,5,5-trimethyl-3,1-cyclohexanediyl)]]tris[hexahydro-2-oxo- (CAS Reg. No. 68975-83-7).","Wanhua Chemical Group Co., Ltd."
2359,"May 31, 2024",2024,"2,5-Furandione, dihydro-, mono-C 15-20 -alkenyl derivs. (CAS Reg. No. 68784-12-3).",Omya International AG and its affiliates
2357,"Aug 1, 2024",2024,"L-Aspartic acid, N-benzoyl-, sodium salt (1:2) (CAS Reg. No. 2092399-70-5).",ADEKA Corporation
2356,"May 28, 2024",2024,"A copolymer of methyltrimethoxysilane (CAS Reg. No. 1185-55-3), trimethoxyphenylsilane (CAS Reg. No. 2996-92-1), and silica (CAS Reg. No. 7631-86-9).","PPG Industries, Inc."
2355,"Aug 29, 2024",2024,"Siloxanes and silicones, di-Me, 3-aminopropyl group-terminated, polymers with 1,1'-methylenebis[4-isocyanatocyclohexane] (CAS Reg. No. 167883-16-1).",Wacker Chemie AG
2354,"May 25, 2024",2024,"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymers with 2-(C 16-18 -acylamino)ethyl acrylate and 4-hydroxybutyl acrylate, acetate (salts) (CAS Reg. No. 2374117-56-1). REPLACES FCN 2191","Daikin America, Inc."
2353,"Jul 25, 2024",2024,Ethylene-vinyl acetate-vinyl alcohol (EVOH) copolymers (CAS Reg. No. 26221-27-2).,"Chang Chun Petrochemical Co., Ltd."
2352,"Feb 14, 2024",2024,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), sodium acetate (CAS Reg. No. 127-09-3), and glycerol (CAS Reg. No. 56-81-5).",Clean Chemistry Inc.
2350,"May 8, 2024",2024,"Methacrylic acid, polymer with N-(butoxymethyl)acrylamide, ethyl acrylate, styrene, and vinylphosphonic acid.","PPG Industries, Inc."
2349,"Jun 5, 2024",2024,"Tris(2,4-di-tert-butylphenyl)phosphite (CAS Reg. No. 31570-04-4).",Rianlon Corporation
2346,"Jun 13, 2024",2024,Diyttrium dioxide sulfide (CAS Reg. No.: 12340-04-4) doped with lanthanide ions.,Polysecure GmbH
2344,"Jun 15, 2024",2024,"[1,1'-Biphenyl]-4,4'-diol, reaction products with 4-cyclohexylphenol and 2,4,6-trichloro-1,3,5- triazine (CAS Reg. No. 2561414-35-3).",ADEKA Corporation
2343,"Jun 22, 2024",2024,Boron nitride (CAS Reg. No. 10043-11-5). REPLACES FCN 289,"Saint-Gobain Ceramics & Plastics, Inc."
2342,"Apr 6, 2024",2024,"1,3,5-trioxane, polymer with 1,3-dioxolane (CAS Reg. No. 24969-26-4).",Asahi Kasei Corporation
2340,"May 22, 2024",2024,"Octadecyl 3,5-di-tert-butyl-4-hydroxyhydrocinnamate (CAS Reg. No. 2082-79-3).",Rianlon Corporation
2338,"Jun 1, 2024",2024,"Amines, bis(hydrogenated palm-oil alkyl)hydroxy (CAS Reg. No. 1374859-51-4). REPLACES FCN 1663","Chitec Technology Co., Ltd."
2337,"Jul 13, 2024",2024,"Acetic acid ethenyl ester, polymer with 2,5-furandione, hydrolyzed, sodium salts (CAS Reg. No. 1428741-30-3).","Kuraray Co., Ltd. Kuraray America, Inc. Kuraray Europe GmbH Kuraray Asia Pacific Pte. Ltd."
2335,"Mar 5, 2024",2024,Triisotridecyl phosphite (CAS Reg. No. 77745-66-5).,Galata Chemicals
2333,"Feb 17, 2024",2024,"Quino[2,3-b]acridine-7,14-dione, 5,12-dihydro- (C.I. Pigment Violet 19; CAS Reg. No. 1047-16-1).",Sun Chemical Corporation
2332,"Feb 9, 2024",2024,Poly(2-ethyl-2-oxazoline) (CAS Reg. No. 25805-17-8).,3M Purification Inc. 3M Healthcare US Opco LLC
2331,"Jan 30, 2024",2024,Polyglycolic acid (CAS Reg. No. 26124-68-5).,"PJIM Polymer Scientific Co., Ltd."
2330,"Jan 26, 2024",2024,"Butanoic acid, 3-hydroxy-, (3R)-, polymer with 4-hydroxybutanoic acid (CAS Reg. No. 125495-90-1), containing up to 10 weight percent 4-hydroxybutanoic acid.",CJ CheilJedang Corporation
2329,"Mar 30, 2024",2024,"Octadecene, reaction products with hexadecene, hydrogenated (CAS Reg. No. 2241366-04-9).","Novvi, LLC"
2328,"Mar 15, 2024",2024,"Tris(4,7-diphenyl-1,10-phenanthroline)ruthenium(II) dichloride (CAS Reg. No. 36309-88-3).",Senoptica Technologies Ltd.
2327,"Jan 10, 2024",2024,"2,5-Furandione, polymer with 1-propene (CAS Reg. No. 25722-45-6). REPLACES FCN 631","Mitsui Chemicals, Incorporated"
2326,"Mar 1, 2024",2024,"Phosphorous acid, mixed 2,4-bis(1,1-dimethylpropyl)phenyl and 4-(1,1-dimethylpropyl)phenyl triesters (CAS Reg. No. 939402-02-5).",SI Group
2325,"Feb 29, 2024",2024,Subtilisin from Alkalihalobacillus clausii produced by a genetically modified strain of Bacillus licheniformis .,Carbios S.A. and its affiliates
2322,"Feb 15, 2024",2024,"An aqueous solution of peroxyacetic acid (CAS Reg. No. 79-21-0), hydrogen peroxide (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), sulfuric acid (CAS Reg. No. 7664-93-9), and 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP, CAS Reg. No. 2809-21-4). REPLACES FCN 2100",Agri-Neo Inc.
2321,"Dec 2, 2023",2023,"1,2-Cyclohexanedicarboxylic acid, calcium salt (1:1), (1R, 2S)-rel- (CAS Reg. No. 491589-22-1).",GCH Technology Co. Ltd.
2316,"Nov 23, 2023",2023,Hypochlorous Acid (CAS Reg. No. 7790-92-3). REPLACES FCN 2186,"Clarentis Technologies, LLC"
2315,"Nov 18, 2023",2023,Ethylene/1-butene copolymer (CAS Reg. No. 25087-34-7).,"Formosa Plastics Corporation, USA"
2313,"Nov 2, 2023",2023,"2,5-Dihydro-3,6-bis(4-methylphenyl)pyrrolo[3,4-c]pyrrole-1,4-dione (CAS Reg. No. 84632-66-6).",Sun Chemical Corporation
2312,"Oct 24, 2023",2023,Polylactide (Polylactic acid; PLA) optionally containing up to 4 weight percent D-lactic acid polymer units (CAS Reg. No. 9051-89-2).,Pliith Biomaterials Co. Ltd.
2311,"Oct 12, 2023",2023,Polypropylene homopolymer (CAS Reg. No. 9003-07-0).,"Hunan Liwei New Material Co., Ltd. Huizhou Leaptop Advanced Materials Co., Ltd."
2308,"Nov 3, 2023",2023,"Industrial starch modified by treatment with greater than 5 percent and not more than 21 percent 2,3-epoxypropyltrimethylammonium chloride (CAS Reg. No. 56780-58-6).",Chemigate Oy
2307,"Nov 29, 2023",2023,Polyphenylene sulfide (CAS Reg. No. 26125-40-6 or 25212-74-2).,"Zhejiang NHU Special Materials Co., Ltd."
2302,"Sep 16, 2023",2023,Calcium hydride (CAS Reg. No. 7789-78-8) used in conjunction with platinum oxide (CAS Reg. No. 1314-15-4) or zeolite encapsulated platinum (CAS Reg. Nos. 63231-69-6 and 20634-12-2),Avient Corporation and its stewarded global affiliates
2299,"Nov 15, 2023",2023,"Ethanaminium, N,N,N-trimethyl-2-[(1-oxo-2-propen-1-yl)oxy]-, chloride (1:1), polymer with 2-propenamide (CAS Reg. No. 69418-26-4).","SNF SA, SNF Inc."
2298,"Sep 1, 2023",2023,"1,4-Benzenedicarboxylic acid, polymer with 1,2-ethanediol and β,β,β,β-tetramethyl-2,4,8,10-tetraoxaspiro[5.5]undecane-3,9-diethanol (CAS Reg. No. 102070-64-4). REPLACES FCN 2254",Perstorp AB
2297,"Aug 30, 2023",2023,Hypochlorous acid (CAS Reg. No. 7790-92-3). REPLACES FCN 2161,"Ecolab, Inc."
2296,"Aug 30, 2023",2023,"Ethene, polymer with 2-propenenitrile and ethenylbenzene (CAS Reg. No. 106826-13-5), and methacrylic acid-2-[(tert-butylperoxycarbonyl)oxy]ethyl ester (CAS Reg. No. 41892-41-5), graft; also known as Ethene, polymer with 2-propenenitrile, ethenylbenzene, and methacrylic acid-2- [(tertbutylperoxycarbonyl)oxy]ethyl ester, graft (CAS Reg. No. 118497-28-2).",NOF Corporation
2295,"Oct 26, 2023",2023,"Copolymer of ethylene glycol dimethacrylate, butyl methacrylate, and glycidyl methacrylate (CAS Reg. No. 133396-60-8).","Alcresta Therapeutics, Inc."
2293,"Aug 1, 2023",2023,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,1-dichloroethene, 2-hydroxyethyl 2-propenoate, methyl 2-propenoate, and 2-propenenitrile (CAS Reg. No. 794518-17-5).",Unitika Ltd. Asahi Kasei Corporation
2292,"Aug 1, 2023",2023,"Triphenyl phosphite, polymer with 1,4-cyclohexanedimethanol and polypropylene glycol,C10-16 alkyl esters (CAS Reg. No. 1821217-71-3). REPLACES FCN 1998",Dover Chemical Corporation
