fcn_no,effective_date,effective_year,substance,manufacturer
965,"May 21, 2010",2010,"Methyl oxirane polymer with oxirane, ether with 1,2,3-propanetriol (CAS Reg. No. 9082-00-2).",The Dow Chemical Company
964,"May 11, 2010",2010,"Industrial starch modified (CAS Reg. No. 56780-58-6) by treatment with greater than 5 percent and not more than 21 percent by weight 2,3-epoxypropyltrimethylammonium chloride (CAS Reg. No. 3033-77-0).",Western Polymer Corporation
963,"May 11, 2010",2010,"(3R,6R)-3,6-dimethyl-1,4-dioxane-2,5-dione, polymer with rel-(3R,6S)-3,6-dimethyl-1,4-dioxane-2,5-dione and (3S,6S)-3,6-dimethyl-1,4-dioxane-2,5-dione (CAS Reg. No. 9051-89-2) (aka polylactide polymers), manufactured and characterized as described in the notification.",Zhejiang Hisun Biomaterials Co. Ltd.
961,"May 11, 2010",2010,Glycerol ethoxylate (CAS Reg. No. 31694-55-0).,The Dow Chemical Company
960,"May 4, 2010",2010,"Phosphorous acid, cyclic neopentanetetrayl bis(2,6-di-tert-butyl-4-methylphenyl) ester (CAS Reg. No. 80693-00-1).",Adeka Corporation
959,"Apr 29, 2010",2010,35 percent ammonium bromide solution (CAS Reg. No. 12124-97-9).,ICL-IP America Inc. (formerly AmeriBrom Inc.)
958,"Jun 2, 2010",2010,Polyglycolic acid (CAS Reg. No. 26124-68-5).,Kureha Corporation
957,"Apr 8, 2010",2010,"Crosslinked 2-propenoic acid, homopolymer, sodium salt (CAS Reg. No. 9003-04-7).",BASF SE
956,"Jun 19, 2010",2010,"Copolymers of caprolactone prepared by the polymerization of caprolactone with up to 2.25 percent 1,4-butanediol (CAS Reg. No. 31831-53-5 or CAS Reg. No. 24980-41-4).",Sealed Air Corporation
955,"Jun 17, 2010",2010,Tetrakis (hydroxymethyl) phosphonium sulfate (THPS) (CAS Reg. No. 55566-30-8).,Energy Solutions (US) LLC
953,"Mar 18, 2010",2010,"2, 4-Imidazolidinedione, 5,5-dimethyl (CAS Reg. No. 77-71-4).","Arxada, LLC"
951,"Mar 16, 2010",2010,"An aqueous mixture of peroxyacetic acid (CAS Reg. No. 79-21-0), hydrogen peroxide (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP, CAS Reg. No. 2809-21-4), and sulfuric acid (CAS Reg. No. 7664-93-9).",Evonik Degussa Corp.
949,"Mar 2, 2010",2010,Chlorine Dioxide (CAS Reg. No. 10049-04-4).,"ICA TriNova, LLC"
948,"Apr 6, 2010",2010,"Ethene, 1,1,2,2-tetrafluoro-, polymer with 1,1,2-trifluoro-2-(1,1,2,2,2-pentafluoroethoxy)ethene (CAS Reg. No. 31784-04-0).","The Chemours Company FC, LLC"
947,"Apr 30, 2010",2010,"Copolymer of hexafluoropropylene (CAS Reg. No. 116-15-4), tetrafluoroethene (CAS Reg. No. 116-14-3), and perfluoroethyl vinyl ether (CAS Reg. No. 10493-43-3).","The Chemours Company FC, LLC"
946,,,REPLACED BY FCN 1775,
945,"Feb 17, 2010",2010,"Fatty acids, C16-18 and C18-unsaturated, methyl esters, hydroformylation products, hydrogenated.",The Dow Chemical Company
944,"Feb 17, 2010",2010,"Hypobromous acid (CAS Reg. No. 13517-11-8) generated on-site from an aqueous mixture of hydrogen bromide (CAS Reg. No. 10035-10-6) and sodium, potassium or calcium hypochlorite (CAS Reg. No. 7681-52-9, 7778-66-7 or 7778-54-3).","Enviro Tech Chemical Services, Inc."
943,,,REPLACED BY FCN 1119,
939,"Apr 2, 2010",2010,"(cis.trans)-(1,3)/(1,4)-cyclohexanedimethanol (1,3-cyclohexanedimethanol, CAS Reg. No. 3971-28-6) and 1,4-cyclohexanedimethanol, CAS Reg. No. 105-08-8).",The Dow Chemical Company
938,"Jan 22, 2010",2010,Cobalt Chromite Blue-Green Spinel (CAS Reg. No. 68187-11-1).,The Shepherd Color Company
937,"Jan 21, 2010",2010,"Copolymers made from the reaction of dimethyl terephthalate or terephthalic acid with a mixture containing 15 to 85 mole percent of ethylene glycol and 85 to 15 mole percent of 1,4-cyclohexanedimethanol (70 percent trans isomer, 30 percent cis isomer), and optionally < 0.5 percent (by weight of the finished resin) trimellitic anhydride as a branching agent. The FCS is further identified as follows: Ethylene-1,4-cyclohexylenedimethylene terephthalate copolymers (CAS Reg. No. 25640-14-6), manufactured from dimethyl terephthalate (DMT), ethylene glycol (EG), and 1,4-cyclohexanedimethanol (CHDM). Ethylene-1,4-cyclohexylenedimethylene terephthalate copolymers (CAS Reg. No. 25038-91-9), manufactured from terephthalic acid (TPA), EG, and CHDM.",Eastman Chemical Company
936,"Jan 12, 2010",2010,Propylene-ethylene copolymers (CAS Reg. No. 9010-79-1).,ExxonMobil Product Solutions Company
935,"Jan 8, 2010",2010,"2,2'-(1,4-phenylene)bis[4H-3,1-benzoxazin-4-one] (CAS Reg. No. 18600-59-4).",Chitec Technology Co. LTD and The Hanson Group LLC
934,"Dec 31, 2009",2009,"Dimethyl, methylvinyl siloxane, hydroxyl-terminated reaction with beta-(3,4-epoxycyclohexyl)-ethyltrimethoxysilane (CAS Reg. No. 917773-10-5).",Dow Silicones Corporation
932,"Dec 30, 2009",2009,"Montmorillonite (CAS Registry Number 1318-93-0) surface treated with either quaternary ammonium compounds, (hydrogenated tallow alkyl)bis(hydroxyethyl)methyl, chlorides (CAS Reg. No. 68607-27-2) or 1-octadecanaminium, N,N-bis(2-hydroxyethyl)-N-methyl-, chloride (CAS Reg. No. 3010-24-0).",Toyo Seikan Kaisha Limited and Nanocor Incorporated
927,"Mar 6, 2010",2010,Urea-melamine-formaldehyde resins (CAS Reg. No. 25036-13-9).,CHEP USA
926,,,REPLACED BY FCN 1216,
925,"Feb 2, 2010",2010,"1,3-Benzenedicarboxylic acid, polymer with 1,3-benzenedimethanamine and hexanedioic acid (CAS Reg. No. 28628-75-3).","Mitsubishi Gas Chemical Co., Inc."
924,"Nov 25, 2009",2009,1-Ethynyl-1-cyclohexanol (CAS Reg. No. 78-27-3).,Wacker Chemical Corporation
923,"Nov 20, 2009",2009,"Nylon MXD-6 (CAS Reg. No. 25718-70-1) (also known as hexanedioic acid, polymer with 1,3-benzenedimethanamine) meeting the analytical specifications in 21 CFR 177.1500(b) item 10.1 and used in conjunction with cobalt neodecanoate (CAS Reg. No. 27253-31-2).","Plastipak Packaging, Inc."
921,,,REPLACED BY FCN 2046,
920,"Nov 10, 2009",2009,"Copolymer of lauryl methacrylate (CAS Reg. No. 142-90-5) and Behenyl Methacrylate (CAS Reg. No. 16669-27-5) in ratios of 70-95% and 5-30%, respectively.",BASF Corporation
919,"Dec 16, 2009",2009,Ethylene-propylene-ethylidene norbornene-dicyclopentadiene elastomer,"Lion Copolymer, LLC"
918,"Oct 28, 2009",2009,Tricyclodecanedimethanol (CAS Reg. No. 26160-83-8).,Evonik Degussa GmbH
917,"Oct 22, 2009",2009,"Butene, polymer with ethene (CAS Reg. No. 9019-29-8).","Mitsui Chemicals, Inc."
916,,,REPLACED BY FCN 2032,
915,"Aug 18, 2009",2009,"Naphthalene, reaction products with 1-hexadecene (CAS Reg. No. 94247-63-9).",ExxonMobil Product Solutions Company
914,"Oct 21, 2009",2009,"9,10-anthracenedione, 1,4-bis[(2,4,6-trimethylphenyl)amino]- (CAS Reg. No. 116-75-6).",Modern Chemical Corporation Limited
913,,,REPLACED BY FCN 1355,
912,"Oct 9, 2009",2009,"Benzenesulfonic acid, 4-[[1-[[(2-methylphenyl)amino]carbonyl]-2-oxopropyl]azo]-3-nitro-, calcium salt (2:1) (CAS Reg. No. 12286-66-7).",Colors and Effects USA LLC
911,"Oct 7, 2009",2009,"A mixture of peroxyacetic acid, hydrogen peroxide, and 1-hydroxyethylidine-1,1-diphosphonic acid, with or without an optional adjuvant system composed of a mixture dimethyl sebacate (up to 20 percent by weight), dimethyl succinate (up to 0.8 percent by weight), dimethyl adipate (68-76 percent by weight) and dimethyl glutarate (4-12 percent by weight).","Ecolab, Inc."
909,"Oct 6, 2009",2009,Propylene/ethylene copolymers (CAS Reg. No. 9010-79-1).,"The Dow Chemical Company Braskem S.A., Braskem America, Inc., and Braskem Europe"
908,"Sep 24, 2009",2009,"An aqueous mixture of peroxyacetic acid (CAS Reg. No. 79-21-0), hydrogen peroxide (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No 64-19-7), sulfuric acid (CAS Reg. No. 7664-93-9), and 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4).",Enviro Tech Chemical Services
907,,,REPLACED BY FCN 2032,
906,"Sep 18, 2009",2009,"3,9-Bis[2-[3-(3-tert-butyl-4-hydroxy-5-methylphenyl)propionyloxy]-1,1-dimethylethyl]-2,4,8,10-tetraoxaspiro[5.5]undecane (CAS Reg. No. 90498-90-1).","Sumitomo Chemical Company, Ltd."
